,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
0,0,0,0,0,0,0,0,96,96,96.0,96.0,96.0,96.0,,,,33,195,6,854610,18883,75059,501,706892042,338768,2,22479,1586187,20640,1055130,7055,93771853,293865,49,3,7,31625,True
1,1,1,1,1,1,1,1,97,97,97.0,97.0,97.0,97.0,,,,33,195,6,1695265,21978,74929,501,-581083622,902311,2,26204,1887573,23110,1059242,7056,83574520,1071494,48,3,7,34546,True
2,2,2,2,2,2,2,2,98,98,98.0,98.0,98.0,98.0,,,,33,195,6,1714228,21825,74848,501,-1584567364,378608,2,25969,1461440,18069,909310,6047,-20517000,544696,43,3,6,27652,True
3,3,3,3,3,3,3,3,99,99,99.0,99.0,99.0,99.0,,,,34,128,6,1084666,16444,75042,501,-1588774884,784725,2,19634,1795463,22115,1204973,8051,4003488,511162,54,3,7,35985,True
4,4,4,4,4,4,4,4,100,100,100.0,100.0,100.0,100.0,,,,34,128,6,1617846,17904,75836,501,-583159864,618405,2,21265,1625031,20647,1061504,7047,21492280,849246,54,3,7,33092,True
5,5,5,5,5,5,5,5,101,101,101.0,101.0,101.0,101.0,,,,34,128,6,1025553,15656,74890,501,706133147,629256,2,18644,1652110,21318,1137176,7555,-71632142,859857,55,3,7,34872,True
6,6,6,6,6,6,6,6,102,102,102.0,102.0,102.0,102.0,,,,35,128,6,591465,12245,75156,501,1707032567,301968,2,14545,1612117,19212,983172,6549,18167023,303044,39,3,6,28024,True
7,7,7,7,7,7,7,7,103,103,103.0,103.0,103.0,103.0,,,,35,128,6,1429978,16841,73861,501,-582415397,134684,2,20005,1448460,17346,1212920,8056,-16693100,576206,45,3,7,25777,True
8,8,8,8,8,8,8,8,104,104,104.0,104.0,104.0,104.0,,,,35,128,6,464376,10807,75090,501,-585079398,879156,2,12882,1628014,19731,1135591,7551,-63418370,990974,47,3,7,29389,True
9,9,9,9,9,9,9,9,105,105,105.0,105.0,105.0,105.0,,,,36,122,6,1731921,26441,75522,504,2009037215,507780,3,32175,1653801,20684,1204937,8050,-42847572,329872,52,3,7,32536,True
