,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
0,0.0,0.0,1,105,6,1255686,15345,75760,501,1331446,15846,2,18186,2005427,24512,1583155,10552,3588582,35064,56,3,6,35597,True
1,1.0,1.0,2,105,6,510137,10937,74678,501,584815,11438,2,13038,2451171,30277,1655060,11049,4106231,41326,55,3,6,43865,True
2,2.0,2.0,3,105,6,923208,13366,75032,501,998240,13867,2,15846,2263225,27384,1438943,9557,3702168,36941,57,3,6,39477,True
3,3.0,3.0,4,108,6,1619654,19214,75553,501,1695207,19715,2,22874,3299113,39680,2035284,13554,5334397,53234,75,3,7,58514,True
4,4.0,4.0,5,108,6,698256,13638,75184,501,773440,14139,2,16394,2945398,34886,2190928,14597,5136326,49483,72,3,7,53052,True
5,5.0,5.0,6,108,6,1530264,18147,74721,501,1604985,18648,2,21614,2682989,34699,2209451,14688,4892440,49387,74,3,7,53635,True
6,6.0,6.0,7,108,6,997989,15958,75105,501,1073094,16459,2,19094,2914204,36813,1661900,11063,4576104,47876,57,3,6,54132,True
7,7.0,7.0,8,108,6,1380522,18104,75199,501,1455721,18605,2,21704,3046118,35192,1511094,10059,4557212,45251,65,3,6,51686,True
8,8.0,8.0,9,108,6,1846962,26210,79351,520,1926313,26730,3,32054,3259042,37948,1508774,10069,4767816,48017,66,3,6,55691,True
9,9.0,9.0,10,105,6,639166,11570,75425,501,714591,12071,2,13740,3017544,36574,2108858,14071,5126402,50645,82,3,7,57302,True
10,10.0,10.0,11,105,6,1054495,13417,75049,501,1129544,13918,2,15924,2982085,37203,2034790,13560,5016875,50763,75,3,7,56828,True
11,11.0,11.0,12,105,6,622805,11907,74596,501,697401,12408,2,14209,2785654,35759,2034678,13564,4820332,49323,74,3,7,54553,True
12,12.0,12.0,13,100,6,983288,13454,74124,501,1057412,13955,2,15924,2101637,26668,1584519,10559,3686156,37227,67,3,6,39398,True
13,13.0,13.0,14,100,6,1015369,12937,74366,501,1089735,13438,2,15275,2668351,32685,2187947,14557,4856298,47242,74,3,7,49278,True
