"FILE_NAME","STATES","INPUTS","LSTAR_MQ_SYM","LSTAR_MQ_RST","LSTAR_EQ_SYM","LSTAR_EQ_RST","LSTAR_TOTAL_SYM","LSTAR_TOTAL_RST","LSTAR_EQs","LSTAR_MQs","CLSTAR_MQ_SYM","CLSTAR_MQ_RST","CLSTAR_EQ_SYM","CLSTAR_EQ_RST","CLSTAR_TOTAL_SYM","CLSTAR_TOTAL_RST","CLSTAR_EQs","CLSTAR_COMPONENTS","CLSTAR_ROUNDS","CLSTAR_MQs","CACHE"
"src/test/Generated Tests/data/P2P/1.txt","29160","14","104547440","2341472","74984","501","104622424","2341973","2","2519769","3142439","37934","5501185","36627","8643624","74561","227","9","10","75004","true"
"src/test/Generated Tests/data/P2P/1.txt","29160","14","85364834","2390639","75030","505","85439864","2391144","3","2568433","3403136","40469","5715287","38141","9118423","78610","217","9","10","75543","true"
"src/test/Generated Tests/data/P2P/1.txt","29160","14","82242375","2415903","75849","503","82318224","2416406","4","2595537","3120017","39450","5490551","36640","8610568","76090","222","9","10","72787","true"
"src/test/Generated Tests/data/P2P/13.txt","28800","14","54326629","2041803","75373","503","54402002","2042306","3","2194730","3148017","38897","5200770","34639","8348787","73536","223","9","10","71886","true"
"src/test/Generated Tests/data/P2P/13.txt","28800","14","59599011","2032249","74216","505","59673227","2032754","3","2186792","2880537","35736","5342859","35617","8223396","71353","217","9","10","67259","true"
"src/test/Generated Tests/data/P2P/13.txt","28800","14","59120502","2037970","77353","509","59197855","2038479","3","2190320","3123859","39125","5430951","36139","8554810","75264","222","9","10","73295","true"
"src/test/Generated Tests/data/P2P/30.txt","27648","14","35887434","1704690","75140","502","35962574","1705192","3","1837099","4243049","51688","5501664","36647","9744713","88335","240","9","10","94657","true"
"src/test/Generated Tests/data/P2P/30.txt","27648","14","44680861","1723606","75886","502","44756747","1724108","3","1857819","3966108","49564","5721249","38151","9687357","87715","228","9","10","87771","true"
"src/test/Generated Tests/data/P2P/30.txt","27648","14","41745451","1686554","74499","501","41819950","1687055","2","1818059","3834302","46483","5717521","38138","9551823","84621","220","9","10","83612","true"
"src/test/Generated Tests/data/P2P/32.txt","28800","14","81674083","3307667","75960","502","81750043","3308169","3","3562857","5306368","64091","5735053","38195","11041421","102286","243","9","10","118629","true"
"src/test/Generated Tests/data/P2P/32.txt","28800","14","81436985","3384744","89005","585","81525990","3385329","4","3649853","4550010","54094","5378852","35834","9928862","89928","248","9","10","104675","true"
"src/test/Generated Tests/data/P2P/32.txt","28800","14","62208416","3321140","82990","551","62291406","3321691","3","3575597","5164400","62082","5524205","36787","10688605","98869","248","9","10","116825","true"
"src/test/Generated Tests/data/P2P/55.txt","28224","14","85683107","5199240","74207","502","85757314","5199742","3","5585112","3008111","36044","5496307","36629","8504418","72673","206","9","10","63089","true"
"src/test/Generated Tests/data/P2P/55.txt","28224","14","84650603","5181850","75359","502","84725962","5182352","3","5576096","3517156","43976","5428320","36164","8945476","80140","221","9","10","76076","true"
"src/test/Generated Tests/data/P2P/55.txt","28224","14","82611320","5178838","75521","502","82686841","5179340","3","5582536","2578338","33362","5575718","37149","8154056","70511","203","9","10","56700","true"
"src/test/Generated Tests/data/P2P/84.txt","29160","14","64875792","3609226","75076","502","64950868","3609728","3","3874439","3383421","40418","5731320","38190","9114741","78608","218","9","10","76644","true"
"src/test/Generated Tests/data/P2P/84.txt","29160","14","64917590","3646885","76363","504","64993953","3647389","4","3922151","3678749","42832","5499934","36655","9178683","79487","214","9","10","77931","true"
"src/test/Generated Tests/data/P2P/84.txt","29160","14","57241935","3607250","75126","502","57317061","3607752","3","3879479","3456410","42990","5647392","37675","9103802","80665","214","9","10","76514","true"
