,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
0,1,100,5,746191,8407,74897,501,821088,8908,2,10223,408320,5136,750214,5027,1158534,10163,29,3,4,8992,True
1,2,100,5,309422,5891,75021,501,384443,6392,2,7163,336806,4755,754685,5041,1091491,9796,29,3,4,8232,True
2,3,108,5,788249,10372,75658,501,863907,10873,2,12731,843561,11104,755652,5038,1599213,16142,40,3,4,21125,True
3,4,108,5,1431634,19939,75827,502,1507461,20441,3,24647,745209,8836,758855,5045,1504064,13881,37,3,4,17418,True
4,5,108,5,1515187,20366,75663,504,1590850,20870,3,25151,617031,7957,681235,4533,1298266,12490,40,3,4,15838,True
5,6,108,5,487905,8336,75110,501,563015,8837,2,10271,805503,9561,755641,5040,1561144,14601,32,3,4,16242,True
6,7,108,5,1182180,16479,76952,502,1259132,16981,3,20411,775255,8881,753945,5037,1529200,13918,31,3,4,15129,True
7,8,108,5,557206,8672,75212,501,632418,9173,2,10691,743944,9001,680977,4543,1424921,13544,34,3,4,15322,True
8,9,100,5,946051,14185,77890,526,1023941,14711,3,17335,484358,6947,765199,5086,1249557,12033,30,3,4,12021,True
9,10,100,5,520655,7353,75401,501,596056,7854,2,8963,464969,5287,755337,5029,1220306,10316,28,3,4,8846,True
10,11,100,5,1366671,18787,76439,506,1443110,19293,4,22909,424200,5310,761478,5067,1185678,10377,28,3,4,9013,True
11,12,108,5,338955,7143,75262,501,414217,7644,2,8709,628889,7380,681846,4532,1310735,11912,40,3,4,15370,True
12,13,108,5,338059,7485,74398,501,412457,7986,2,9159,555299,7236,759980,5040,1315279,12276,35,3,4,13370,True
13,14,108,5,701223,9480,75295,501,776518,9981,2,11559,575208,7336,759295,5040,1334503,12376,33,3,4,12571,True
14,15,108,5,326655,8471,74685,501,401340,8972,2,10391,567175,7079,686093,4566,1253268,11645,32,3,4,12182,True
15,16,108,5,922282,12327,75548,501,997830,12828,2,15131,548815,7331,765235,5084,1314050,12415,31,3,4,12631,True
16,17,108,5,877110,15534,76665,517,953775,16051,3,19031,717446,8478,765420,5090,1482866,13568,31,3,4,14484,True
17,18,126,5,735083,12604,75304,503,810387,13107,3,15431,905482,10821,758165,5044,1663647,15865,33,3,4,19298,True
18,19,126,5,1425743,17602,75668,506,1501411,18108,3,21551,772260,9479,756926,5037,1529186,14516,32,3,4,16999,True
19,20,126,5,1387185,20444,74672,504,1461857,20948,4,25031,927082,11445,756555,5043,1683637,16488,34,3,4,20499,True
20,21,156,5,1164331,14890,75852,501,1240183,15391,2,18283,715930,8888,759821,5038,1475751,13926,31,3,4,15247,True
21,22,156,5,1438897,15403,75185,501,1514082,15904,2,18913,559928,7428,680045,4527,1239973,11955,32,3,4,12817,True
22,23,156,5,501325,11812,75470,501,576795,12313,2,14503,654488,7921,680794,4539,1335282,12460,32,3,4,13644,True
23,24,110,5,1162958,16651,76072,503,1239030,17154,3,20877,681461,8598,761765,5045,1443226,13643,33,3,4,15324,True
24,25,110,5,906308,15792,75879,502,982187,16294,3,19382,592526,7636,684955,4540,1277481,12176,36,3,4,14781,True
25,26,110,5,486511,9581,75098,501,561609,10082,2,11907,670975,8052,686142,4539,1357117,12591,36,3,4,15452,True
26,27,120,5,1039602,16445,77283,510,1116885,16955,3,20415,978031,11854,684924,4552,1662955,16406,40,3,4,22441,True
27,28,120,5,658613,13833,76004,506,734617,14339,3,17115,653936,7891,682863,4536,1336799,12427,37,3,4,15571,True
28,29,120,5,1346071,17728,76603,513,1422674,18241,3,21955,950008,11648,758737,5060,1708745,16708,36,3,4,19937,True
29,30,110,5,827801,12141,75757,501,903558,12642,2,14993,672345,8959,752748,5031,1425093,13990,32,3,4,15736,True
30,31,110,5,997663,16820,74579,502,1072242,17322,3,21223,946853,11047,681495,4540,1628348,15587,34,3,4,19246,True
31,32,110,5,952696,16885,74938,507,1027634,17392,3,21153,639921,8301,758260,5035,1398181,13336,31,3,4,14486,True
32,33,120,6,1288356,20958,74832,502,1363188,21460,3,24923,677888,8089,1281297,8546,1959185,16635,47,4,5,14334,True
33,34,120,6,738345,12840,75631,501,813976,13341,2,15203,464413,6622,1284189,8541,1748602,15163,47,4,5,11846,True
34,35,120,6,992911,14304,75364,501,1068275,14805,2,16931,662589,8524,1355429,9055,2018018,17579,48,4,5,16213,True
35,36,120,6,1469411,27703,75077,505,1544488,28208,4,33474,1032302,12815,1289158,8580,2321460,21395,56,4,5,21933,True
36,37,120,6,3004090,37013,76861,506,3080951,37519,4,44706,1123096,13604,1361707,9085,2484803,22689,55,4,5,23380,True
37,38,120,6,816188,15598,74839,501,891027,16099,2,18498,1097457,13898,1360178,9067,2457635,22965,54,4,5,23764,True
38,39,105,6,394824,7046,74832,501,469656,7547,2,8270,621826,6830,1362112,9053,1983938,15883,46,4,5,12140,True
39,40,105,6,340930,6586,74926,501,415856,7087,2,7730,459048,6064,1282326,8545,1741374,14609,51,4,5,12298,True
40,41,105,6,319700,6494,75222,501,394922,6995,2,7622,528631,6228,1355525,9044,1884156,15272,46,4,5,11232,True
41,42,135,6,1016385,15309,74790,502,1091175,15811,3,18009,1151143,12886,1362781,9046,2513924,21932,51,4,5,21938,True
42,43,135,6,1907907,20919,74971,502,1982878,21421,3,24609,726746,9496,1283996,8541,2010742,18037,52,4,5,16178,True
